order_date,order_id,product,product_id,category,purchase_address,quantity_ordered,price_each,cost_price,turnover,margin,time_of_day,purchase_state
2023-01-22,141234,iphone,5638008983335,vêtements,"944 walnut st, boston, ma 02215",1,700,231,700,469,evening, ma 02215
2023-01-28,141235,lightning charging cable,5563319511488,alimentation,"185 maple st, portland, or 97035",1,14.95,7.475,14.95,7.475,afternoon, or 97035
2023-01-17,141236,wired headphones,2113973395220,vêtements,"538 adams st, san francisco, ca 94016",2,11.99,5.995,23.98,11.99,afternoon, ca 94016
2023-01-05,141237,27in fhd monitor,3069156759167,sports,"738 10th st, los angeles, ca 90001",1,149.99,97.4935,149.99,52.4965,evening, ca 90001
2023-01-25,141238,wired headphones,9692680938163,électronique,"387 10th st, austin, tx 73301",1,11.99,5.995,11.99,5.995,unknown, tx 73301
2023-01-29,141239,aaa batteries (4-pack),2953868554188,alimentation,"775 willow st, san francisco, ca 94016",1,2.99,1.495,2.99,1.495,evening, ca 94016
2023-01-26,141240,27in 4k gaming monitor,5173670800988,vêtements,"979 park st, los angeles, ca 90001",1,389.99,128.69670000000002,389.99,261.2933,afternoon, ca 90001
2023-01-05,141241,usb-c charging cable,8051736777568,vêtements,"181 6th st, san francisco, ca 94016",1,11.95,5.975,11.95,5.975,afternoon, ca 94016
2023-01-01,141242,bose soundsport headphones,1508418177978,électronique,"867 willow st, los angeles, ca 90001",1,99.99,49.995,99.99,49.995,morning, ca 90001
2023-01-22,141243,apple airpods headphones,1386344211590,électronique,"657 johnson st, san francisco, ca 94016",1,150,97.5,150,52.5,evening, ca 94016
2023-01-07,141244,apple airpods headphones,4332898830865,vêtements,"492 walnut st, san francisco, ca 94016",1,150,97.5,150,52.5,unknown, ca 94016
2023-01-31,141245,macbook pro laptop,1169379570345,vêtements,"322 6th st, san francisco, ca 94016",1,1700,561,1700,1139,morning, ca 94016
2023-01-09,141246,aaa batteries (4-pack),4436184749366,vêtements,"618 7th st, los angeles, ca 90001",3,2.99,1.495,8.97,4.485,evening, ca 90001
2023-01-25,141247,27in fhd monitor,7313825995563,vêtements,"512 wilson st, san francisco, ca 94016",1,149.99,97.4935,149.99,52.4965,evening, ca 94016
2023-01-05,141249,27in fhd monitor,9643428300795,alimentation,"440 cedar st, portland, or 97035",1,149.99,97.4935,149.99,52.4965,afternoon, or 97035
2023-01-10,141250,vareebadd phone,6721780072847,alimentation,"471 center st, los angeles, ca 90001",1,400,132,400,268,unknown, ca 90001
2023-01-24,141251,apple airpods headphones,2700099961823,alimentation,"414 walnut st, boston, ma 02215",1,150,97.5,150,52.5,morning, ma 02215
2023-01-30,141252,usb-c charging cable,3692435232121,sports,"220 9th st, los angeles, ca 90001",1,11.95,5.975,11.95,5.975,morning, ca 90001
2023-01-08,141254,aaa batteries (4-pack),8219536039183,électronique,"238 sunset st, seattle, wa 98101",1,2.99,1.495,2.99,1.495,unknown, wa 98101
2023-01-09,141255,usb-c charging cable,7739134543383,alimentation,"764 11th st, los angeles, ca 90001",1,11.95,5.975,11.95,5.975,evening, ca 90001
2023-01-29,141256,google phone,3693462265309,électronique,"675 washington st, portland, or 97035",1,600,198,600,402,morning, or 97035
2023-01-12,141257,apple airpods headphones,8586659871618,sports,"338 highland st, san francisco, ca 94016",1,150,97.5,150,52.5,evening, ca 94016
2023-01-19,141258,aa batteries (4-pack),5050923931748,sports,"820 1st st, san francisco, ca 94016",1,3.84,1.92,3.84,1.92,evening, ca 94016
2023-01-20,141259,aaa batteries (4-pack),8114620073761,alimentation,"920 adams st, san francisco, ca 94016",2,2.99,1.495,5.98,2.99,afternoon, ca 94016
2023-01-01,141260,aaa batteries (4-pack),9690713913382,alimentation,"293 hill st, san francisco, ca 94016",1,2.99,1.495,2.99,1.495,evening, ca 94016
2023-01-09,141261,usb-c charging cable,3832854370801,sports,"840 lincoln st, atlanta, ga 30301",1,11.95,5.975,11.95,5.975,evening, ga 30301
2023-01-16,141262,aaa batteries (4-pack),2888976535898,sports,"291 lincoln st, san francisco, ca 94016",1,2.99,1.495,2.99,1.495,afternoon, ca 94016
2023-01-11,141263,bose soundsport headphones,3424458315091,vêtements,"640 spruce st, boston, ma 02215",1,99.99,49.995,99.99,49.995,unknown, ma 02215
2023-01-03,141264,apple airpods headphones,8604681316768,vêtements,"937 highland st, new york city, ny 10001",1,150,97.5,150,52.5,morning, ny 10001
2023-01-01,141265,apple airpods headphones,8195982149575,alimentation,"853 ridge st, boston, ma 02215",1,150,97.5,150,52.5,afternoon, ma 02215
2023-01-02,141266,27in 4k gaming monitor,5423123907353,sports,"834 4th st, dallas, tx 75001",1,389.99,128.69670000000002,389.99,261.2933,evening, tx 75001
2023-01-09,141267,apple airpods headphones,4263139574413,sports,"649 sunset st, los angeles, ca 90001",1,150,97.5,150,52.5,morning, ca 90001
2023-01-14,141268,aa batteries (4-pack),7300874677978,vêtements,"611 elm st, new york city, ny 10001",1,3.84,1.92,3.84,1.92,morning, ny 10001
2023-01-03,141269,27in 4k gaming monitor,9305101001075,sports,"812 jefferson st, los angeles, ca 90001",1,389.99,128.69670000000002,389.99,261.2933,evening, ca 90001
2023-01-27,141270,wired headphones,2490250792761,vêtements,"469 hill st, san francisco, ca 94016",1,11.99,5.995,11.99,5.995,unknown, ca 94016
2023-01-30,141271,usb-c charging cable,9012688756596,électronique,"90 13th st, boston, ma 02215",1,11.95,5.975,11.95,5.975,morning, ma 02215
2023-01-12,141272,aaa batteries (4-pack),6609361466507,sports,"818 lincoln st, new york city, ny 10001",1,2.99,1.495,2.99,1.495,afternoon, ny 10001
2023-01-29,141273,wired headphones,2009029820937,sports,"994 13th st, boston, ma 02215",2,11.99,5.995,23.98,11.99,afternoon, ma 02215
2023-01-17,141274,usb-c charging cable,2458564127476,sports,"8 jackson st, los angeles, ca 90001",1,11.95,5.975,11.95,5.975,unknown, ca 90001
2023-01-07,141275,usb-c charging cable,6813732433143,sports,"610 walnut st, austin, tx 73301",1,11.95,5.975,11.95,5.975,afternoon, tx 73301
2023-01-07,141275,wired headphones,5762058821030,vêtements,"610 walnut st, austin, tx 73301",1,11.99,5.995,11.99,5.995,afternoon, tx 73301
2023-01-21,141276,lightning charging cable,4437399640739,sports,"63 cherry st, los angeles, ca 90001",1,14.95,7.475,14.95,7.475,evening, ca 90001
2023-01-13,141277,bose soundsport headphones,7022455706599,électronique,"370 lakeview st, austin, tx 73301",1,99.99,49.995,99.99,49.995,evening, tx 73301
2023-01-26,141278,lightning charging cable,3945577425210,alimentation,"100 cherry st, new york city, ny 10001",1,14.95,7.475,14.95,7.475,afternoon, ny 10001
2023-01-03,141279,lightning charging cable,2254370169596,sports,"938 14th st, boston, ma 02215",1,14.95,7.475,14.95,7.475,evening, ma 02215
2023-01-20,141280,aaa batteries (4-pack),6968732579290,électronique,"530 7th st, los angeles, ca 90001",1,2.99,1.495,2.99,1.495,afternoon, ca 90001
2023-01-05,141281,lightning charging cable,8251683479623,alimentation,"274 2nd st, atlanta, ga 30301",1,14.95,7.475,14.95,7.475,afternoon, ga 30301
2023-01-11,141282,vareebadd phone,7519985342994,sports,"125 center st, new york city, ny 10001",1,400,132,400,268,evening, ny 10001
2023-01-29,141284,wired headphones,8507379009167,vêtements,"462 1st st, los angeles, ca 90001",1,11.99,5.995,11.99,5.995,evening, ca 90001
2023-01-14,141285,aaa batteries (4-pack),2484326257641,alimentation,"447 cedar st, seattle, wa 98101",3,2.99,1.495,8.97,4.485,afternoon, wa 98101
2023-01-02,141286,27in 4k gaming monitor,3429904483225,vêtements,"505 hickory st, dallas, tx 75001",1,389.99,128.69670000000002,389.99,261.2933,evening, tx 75001
2023-01-31,141287,bose soundsport headphones,8932499335234,alimentation,"386 elm st, san francisco, ca 94016",1,99.99,49.995,99.99,49.995,morning, ca 94016
2023-01-19,141288,macbook pro laptop,3957658946411,sports,"789 washington st, los angeles, ca 90001",1,1700,561,1700,1139,morning, ca 90001
2023-01-28,141289,20in monitor,1334777256730,alimentation,"534 elm st, atlanta, ga 30301",1,109.99,71.4935,109.99,38.4965,unknown, ga 30301
2023-01-02,141290,apple airpods headphones,9390176017956,vêtements,"4 1st st, los angeles, ca 90001",1,150,97.5,150,52.5,morning, ca 90001
2023-01-02,141290,aa batteries (4-pack),5538988214120,vêtements,"4 1st st, los angeles, ca 90001",3,3.84,1.92,11.52,5.76,morning, ca 90001
2023-01-26,141291,aa batteries (4-pack),9989998049236,sports,"632 13th st, los angeles, ca 90001",1,3.84,1.92,3.84,1.92,evening, ca 90001
2023-01-21,141292,aaa batteries (4-pack),4810474239131,vêtements,"847 ridge st, los angeles, ca 90001",1,2.99,1.495,2.99,1.495,morning, ca 90001
2023-01-18,141293,usb-c charging cable,3599006367992,sports,"880 washington st, boston, ma 02215",1,11.95,5.975,11.95,5.975,afternoon, ma 02215
2023-01-25,141294,bose soundsport headphones,4880895321034,électronique,"907 highland st, san francisco, ca 94016",1,99.99,49.995,99.99,49.995,morning, ca 94016
2023-01-06,141295,aa batteries (4-pack),1276874624774,vêtements,"898 lakeview st, austin, tx 73301",1,3.84,1.92,3.84,1.92,evening, tx 73301
2023-01-04,141297,lightning charging cable,3239456558825,sports,"566 highland st, san francisco, ca 94016",1,14.95,7.475,14.95,7.475,unknown, ca 94016
2023-01-21,141298,lightning charging cable,3941481759871,vêtements,"81 10th st, dallas, tx 75001",1,14.95,7.475,14.95,7.475,afternoon, tx 75001
2023-01-31,141299,aaa batteries (4-pack),3021537163246,alimentation,"836 hill st, dallas, tx 75001",1,2.99,1.495,2.99,1.495,unknown, tx 75001
2023-01-23,141300,apple airpods headphones,8895422924583,vêtements,"121 cherry st, boston, ma 02215",1,150,97.5,150,52.5,morning, ma 02215
2023-01-27,141301,apple airpods headphones,8598109744000,sports,"867 hill st, new york city, ny 10001",1,150,97.5,150,52.5,unknown, ny 10001
2023-01-18,141302,aaa batteries (4-pack),5743606040967,alimentation,"90 14th st, portland, or 97035",2,2.99,1.495,5.98,2.99,evening, or 97035
2023-01-19,141303,aa batteries (4-pack),3988945383921,sports,"313 14th st, seattle, wa 98101",1,3.84,1.92,3.84,1.92,morning, wa 98101
2023-01-28,141304,usb-c charging cable,2795221908451,sports,"363 willow st, los angeles, ca 90001",1,11.95,5.975,11.95,5.975,afternoon, ca 90001
2023-01-27,141305,aaa batteries (4-pack),9992004933513,vêtements,"756 wilson st, austin, tx 73301",3,2.99,1.495,8.97,4.485,afternoon, tx 73301
2023-01-19,141306,wired headphones,1738575276006,sports,"458 forest st, san francisco, ca 94016",1,11.99,5.995,11.99,5.995,morning, ca 94016
2023-01-11,141307,aaa batteries (4-pack),3742602898811,électronique,"895 johnson st, boston, ma 02215",1,2.99,1.495,2.99,1.495,unknown, ma 02215
2023-01-12,141308,27in fhd monitor,2444962153827,vêtements,"926 cedar st, portland, or 97035",1,149.99,97.4935,149.99,52.4965,afternoon, or 97035
2023-01-20,141309,aaa batteries (4-pack),3790541892260,électronique,"423 elm st, san francisco, ca 94016",2,2.99,1.495,5.98,2.99,morning, ca 94016
2023-01-07,141310,aaa batteries (4-pack),3674220232271,alimentation,"679 8th st, san francisco, ca 94016",1,2.99,1.495,2.99,1.495,afternoon, ca 94016
2023-01-28,141311,34in ultrawide monitor,8131150697525,électronique,"223 north st, atlanta, ga 30301",1,379.99,125.3967,379.99,254.5933,afternoon, ga 30301
2023-01-08,141312,apple airpods headphones,7813157077566,vêtements,"741 11th st, san francisco, ca 94016",1,150,97.5,150,52.5,unknown, ca 94016
